Classifier,Metric,first_dataset,balanced,with_distance,with_angle,with_player_ids,with_player_stats,with_player_salary,short_dist,long_dist,weighted,with_player_stats_tuned
LogReg,accuracy,0.9069617860138462,0.6290206125538604,0.6785578837584147,0.6788740417250136,0.5143474236346807,0.5516103766643723,0.5148715519056644,0.6619911476840596,0.6499635568513119,0.5876253264899022,0.6940877696817221
LogReg,f1-score,0.0,0.6455245471135443,0.6959757874677726,0.6863117870722434,0.061548339754173564,0.4954059829059829,0.12304325070181284,0.7966241560390098,0.09748649283533004,0.2334160075618642,0.7116748316667786
LogReg,auc-roc,0.6679953437776591,0.6671982927209001,0.7302527375745795,0.7306126742853696,0.522429673382147,0.5870330548513311,0.5181070157357953,0.5320606504581458,0.5330705427019089,0.6654385420392781,0.7525524009235905
LogReg,precision,0.0,0.616519299438871,0.6619472045716235,0.6727727272727273,0.9985119047619048,0.5686779494726515,0.5871934604904632,0.6619911476840596,0.9975961538461539,0.1411141827275302,0.6748546943277757
LogReg,recall,0.0,0.6773937412424101,0.7336925694838343,0.7004069657391634,0.03175279197425705,0.4388604959303426,0.06872176454956153,1.0,0.051247221536181775,0.6747944693572496,0.7527446526594738
LGBM,accuracy,0.9075571819086568,0.6902759986025387,0.690409595145539,0.6891272873994256,0.6957966439607909,0.6973631120499371,0.6967519477784797,0.6895455395548906,0.7018039358600583,0.6510154324877553,0.6976004556998078
LGBM,f1-score,0.024579263539230522,0.7027582815503598,0.7056808707213197,0.7047339945897204,0.7096481888408128,0.7118873850464333,0.705382943357627,0.7988366456616578,0.5366647791619479,0.2821230298858384,0.711578947368421
LGBM,auc-roc,0.7504370801141337,0.7521037951048091,0.7490104179364637,0.7457288174076566,0.7549824407827924,0.7595263968618604,0.7594610862559011,0.6506524273615888,0.7403470053202392,0.750419868855248,0.7595263968618604
LGBM,precision,0.6716791979949874,0.6738683127572016,0.6743034322380603,0.6729378336490442,0.6806744600408501,0.6812108108108108,0.6797437161163135,0.6994411827120323,0.6286898839137645,0.1744480436921648,0.6820726467907825
LGBM,recall,0.012518684603886398,0.7342363381597384,0.7401210058612214,0.7396838917281847,0.7411981828506531,0.7454571266325951,0.7330321551953228,0.9311611262830775,0.46814028155100024,0.7370609118086696,0.7437535491198183
KNC,accuracy,0.9069617860138462,0.6747408873879119,0.6713283398122689,0.6731777941281181,0.5293950110364797,0.5609379821042888,0.5688566013897662,0.6607443426220311,0.6477769679300291,0.0,0.683051289962737
KNC,f1-score,0.0,0.694105535233172,0.693392888731647,0.6878541959468649,0.4913810794171968,0.5696005211605127,0.5513803680981596,0.7952749981190279,0.18559089951548347,0.0,0.6560375025757262
KNC,auc-roc,0.7189959549866314,0.7266462804349135,0.7225344851709639,0.7249392674242646,0.5456100377416385,0.5858721750114871,0.5960794631590618,0.5395167671485473,0.5866780479261857,0.0,0.7595263968618604
KNC,precision,0.0,0.6535494781998927,0.6514459032740568,0.6601688277782612,0.5365225184853237,0.5602544738889652,0.5687969712380629,0.6621562362964355,0.6310888252148997,0.0,0.7198168663802849
KNC,recall,0.0,0.740028024287716,0.7411136320665532,0.7179632784402802,0.4532462615937914,0.5792636759416998,0.5349986712729206,0.995385629531971,0.10879229439367745,0.0,0.6026405451448041
